dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,leaky_relu,1,32,300,0.19230678059011144,0.2538247421150603,0.16962306981991432,0.9666666666666667,3
Iris,leaky_relu,1,32,300,0.19260967346989366,0.3181008639343436,0.17514768434252498,0.9666666666666667,4
Iris,leaky_relu,1,32,300,0.19801724808734136,0.33571940259246524,0.19965824695167642,0.9333333333333333,5
Iris,leaky_relu,1,32,300,0.16949175720198317,0.35499343003529926,0.1550511589645573,0.9666666666666667,6
Iris,leaky_relu,1,32,300,0.18106655202644503,0.2980506360071126,0.17770426842756462,0.9,7
Iris,leaky_relu,1,32,300,0.18799808739679968,0.29228798627943714,0.16964218094800773,0.9666666666666667,8
Iris,leaky_relu,1,32,300,0.18243497802219102,0.36926206528385297,0.175925355878937,0.9333333333333333,9
Iris,leaky_relu,1,32,300,0.1728613508454485,0.28195210972230805,0.16410468920472696,0.9333333333333333,10
Iris,leaky_relu,1,32,300,0.17217871318912925,0.2564242808417934,0.1520782455188599,0.9666666666666667,11
Iris,leaky_relu,1,32,300,0.15520754186517202,0.3063003743391915,0.14216006905237866,0.9666666666666667,12
Iris,leaky_relu,1,32,300,0.1689341953396243,0.26576919831536894,0.15115490477849228,0.9666666666666667,13
Iris,leaky_relu,1,32,300,0.18241843519110781,0.3218910795292309,0.1690791969056265,0.9333333333333333,14
Iris,leaky_relu,1,32,300,0.2157146675883034,0.39471886257326955,0.1824525022029519,0.9666666666666667,15
Iris,leaky_relu,1,32,300,0.14641133446099364,0.26735164678863566,0.1328345608945237,1.0,16
Iris,leaky_relu,1,32,300,0.172753293341971,0.2563293350753513,0.16673754313241554,0.9666666666666667,17
Iris,leaky_relu,1,32,300,0.17289317775260735,0.30822926161460473,0.15430069498179871,0.9333333333333333,18
Iris,leaky_relu,1,32,300,0.15647045574945737,0.23629744352654,0.13752800148580266,1.0,19
Iris,leaky_relu,1,32,300,0.17465796519068252,0.29417092437373443,0.1649737159111679,0.9666666666666667,20
Iris,leaky_relu,1,32,300,0.19225037068908868,0.40615306435603565,0.15652543151710416,0.9666666666666667,21
Iris,leaky_relu,1,32,300,0.22876333393716455,0.27431344447819866,0.18813459595826845,0.9333333333333333,22
Iris,leaky_relu,1,32,300,0.18259244212197942,0.2686269617782682,0.15778842302966437,0.9666666666666667,23
Iris,leaky_relu,1,32,300,0.1876877484300353,0.302352871845996,0.1660227040957533,0.9333333333333333,24
Iris,leaky_relu,1,32,300,0.1578659039449437,0.2868618977973042,0.14019000335743423,0.9666666666666667,25
Iris,leaky_relu,1,32,300,0.1741927372329175,0.3815290923902875,0.1501356900038986,0.9333333333333333,26
Iris,leaky_relu,1,32,300,0.20412372573837234,0.27935709309093104,0.18069356294983357,0.9333333333333333,27
Iris,leaky_relu,1,32,300,0.19951262954256035,0.3156149422971843,0.1788978914026567,0.9333333333333333,28
Iris,leaky_relu,1,32,300,0.2000900457646927,0.30235124513343953,0.17409225496771963,0.9333333333333333,29
Iris,leaky_relu,4,32,177,0.13863288319581624,0.3702833759792039,0.155102722666796,0.9333333333333333,0
Iris,leaky_relu,4,32,108,0.12595614693125046,0.3750168234951423,0.15914598267357613,0.9333333333333333,1
Iris,leaky_relu,4,32,196,0.10190023812985301,0.22418861735643678,0.17140128562481333,0.9333333333333333,2
Iris,leaky_relu,4,32,140,0.09512605948707027,0.27203650537942164,0.14101317155354612,0.9333333333333333,3
Iris,leaky_relu,4,32,159,0.0861425859848733,0.3981318320258381,0.12599715304225384,0.9333333333333333,4
Iris,leaky_relu,4,32,168,0.08100246799601865,0.257667131791461,0.12711502218172963,1.0,5
Iris,leaky_relu,4,32,172,0.09785657602140611,0.35942987545864735,0.13248907930559367,0.9333333333333333,6
Iris,leaky_relu,4,32,220,0.07523516336482362,0.26844042093080317,0.10893784401211594,0.9666666666666667,7
Iris,leaky_relu,4,32,155,0.08997138548427869,0.21971697404621562,0.1295943056065856,0.9,8
Iris,leaky_relu,4,32,145,0.12304002332844799,0.3026679928688442,0.11909565091899191,0.9666666666666667,9
Iris,leaky_relu,4,32,128,0.09996095303492392,0.38740335000074233,0.13101097972031556,0.9666666666666667,10
Iris,leaky_relu,4,32,118,0.10577809839058157,0.2458045766414676,0.1431824540316245,0.9333333333333333,11
Iris,leaky_relu,4,32,132,0.08921891090181062,0.24850686161648997,0.11972077342539546,0.9666666666666667,12
Iris,leaky_relu,4,32,182,0.07980529439543912,0.23237880322659255,0.08596808595902197,1.0,13
Iris,leaky_relu,4,32,196,0.05954944386032188,0.2783133521587901,0.07317011003552767,1.0,14
Iris,leaky_relu,4,32,113,0.19203481885938056,0.49201586149415194,0.23267171940546397,0.9,15
Iris,leaky_relu,4,32,143,0.12154402449440044,0.24748620411486344,0.15423672550555984,0.9666666666666667,16
Iris,leaky_relu,4,32,110,0.07284224742444727,0.3292166633072367,0.12613212143501568,0.9333333333333333,17
Iris,leaky_relu,4,32,220,0.11419513201285421,0.2932889282265145,0.14059337684939563,0.9666666666666667,18
